flow_duration,fwd_num_pkts,bwd_num_pkts,fwd_sum_pkt_len,bwd_sum_pkt_len,fwd_min_pkt_len,fwd_mean_pkt_len,fwd_std_pkt_len,fwd_max_pkt_len,bwd_min_pkt_len,bwd_mean_pkt_len,bwd_std_pkt_len,bwd_max_pkt_len,fwd_min_iat,fwd_mean_iat,fwd_std_iat,fwd_max_iat,bwd_min_iat,bwd_mean_iat,bwd_std_iat,bwd_max_iat,fwd_num_syn_flags,fwd_num_ack_flags,fwd_num_fin_flags,fwd_num_rst_flags,fwd_num_psh_flags,fwd_num_urg_flags,bwd_num_syn_flags,bwd_num_ack_flags,bwd_num_fin_flags,bwd_num_rst_flags,bwd_num_psh_flags,bwd_num_urg_flags,is_vpn
224,10,8,3032,3388,54,303.2,431.8559482049541,1474,66,423.5,831.1335632736774,2609,0,24.88888888888889,23.703935184054917,53,0,24.857142857142858,28.94540956168832,66,1,8,1,1,3,0,1,8,1,0,3,0,False
2168,8,6,1596,3187,54,199.5,250.3237903196578,689,54,531.1666666666666,928.9403311778906,2596,0,309.7142857142857,708.463672682096,2044,0,432.0,815.6849882154262,2062,1,7,1,1,2,0,1,6,1,0,3,0,True
376,12,9,2932,3455,54,244.33333333333334,434.03769677554766,1595,66,383.8888888888889,760.9982398058844,2522,0,34.18181818181818,42.470991558556086,92,0,35.75,45.94766044098437,100,1,8,1,3,4,0,1,9,1,0,4,0,True
1470,12,9,3200,3479,66,266.6666666666667,488.1991283163959,1799,66,386.55555555555554,790.8907932917034,2610,0,133.63636363636363,316.27441270553555,1125,0,183.75,378.8933722038431,1172,1,11,1,0,4,0,1,9,1,0,4,0,True
1934,14,10,3496,3417,54,249.71428571428572,372.899532346837,1434,54,341.7,756.7239985622236,2598,0,148.76923076923077,158.85898625760174,473,0,151.77777777777777,186.51170816855068,488,1,11,1,2,4,0,1,10,1,0,3,0,False
829,12,8,3242,3386,54,270.1666666666667,356.97451667528804,1090,66,423.25,830.4761811755952,2607,0,75.36363636363636,87.0164798678678,188,0,91.57142857142857,107.04452630678927,259,1,9,1,2,3,0,1,8,1,0,3,0,False
965,11,8,3129,3388,54,284.45454545454544,409.6928702502453,1434,66,423.5,831.1335632736774,2609,0,96.5,118.79499147691371,283,0,97.57142857142857,112.09798920441646,229,1,8,1,2,3,0,1,8,1,0,3,0,False
920,10,8,3246,1226,54,324.6,442.35171526738765,1474,66,153.25,140.20944155084564,435,0,102.33333333333333,108.71777939028904,226,0,99.57142857142857,114.76542179949642,241,1,7,1,2,3,0,1,8,1,0,3,0,False
195,11,7,3085,3321,54,280.45454545454544,507.75107781746107,1799,66,474.42857142857144,876.3505262724266,2608,1,19.5,18.725650856512303,42,0,25.5,26.03683288471673,64,1,8,1,2,3,0,1,7,1,0,3,0,False
450,8,7,3115,1148,54,389.375,642.3022920518033,2015,66,164.0,146.7738785634945,435,3,64.28571428571429,69.49555851319727,198,0,66.66666666666667,69.16325292780519,201,1,6,1,1,3,0,1,7,1,0,3,0,True
1271,10,10,3666,1637,54,366.6,439.5800723417749,1474,54,163.7,162.30036968534606,461,0,141.33333333333334,126.09520212918491,279,0,141.33333333333334,120.02129440691394,251,1,9,1,1,4,0,1,9,1,1,4,0,False
306,12,8,3154,3400,54,262.8333333333333,404.678644798012,1474,66,425.0,830.4975918086699,2609,0,27.818181818181817,25.26520489749483,72,0,37.0,53.41749312190316,156,1,9,1,2,3,0,1,8,1,0,3,0,False
496,13,12,4268,3675,54,328.3076923076923,468.57416860011597,1386,66,306.25,698.2881598356561,2608,0,41.416666666666664,46.42100518323814,159,0,38.54545454545455,66.13259908061247,228,1,11,1,1,5,0,1,12,1,0,3,0,False
978,10,8,3041,3388,54,304.1,404.9815921742618,1354,66,423.5,831.1335632736774,2609,0,108.66666666666667,94.02009241527992,227,0,111.42857142857143,115.04267176370084,293,1,8,1,1,3,0,1,8,1,0,3,0,False
207,10,9,3696,3757,54,369.6,440.83017138122483,1474,54,417.44444444444446,783.5543108328175,2597,0,23.0,20.520991962161848,47,0,20.0,20.112185361118765,48,1,9,1,1,4,0,1,9,1,0,4,0,False
1070,9,8,3036,3389,54,337.3333333333333,386.45367697104973,1090,66,423.625,831.4622567350848,2610,10,133.75,92.37796003376563,230,0,121.42857142857143,139.0106441380424,309,1,7,1,1,3,0,1,8,1,0,3,0,False
